text,label
Did the World Health Organization Declare Medical Marijuana Has No Health Risks?,1
iPhone 6 Ebola Epidemic Are iPhone 6s infected with Ebol...,0
Seniors Beware Obamacare does not mandate that no one ov...,0
...,0
...,1
Shopping Cart Germs Are handles of shopping carts laden ...,1
Breast Cancer Patient Protection Act Is the Breast Cance...,1
Progesterex Rape Is a drug called Progesterex being used...,0
...,0
Obamacare No Neurosurgery for Patients Over 70 The Obama...,0
...,0
Lead in Flint Bottled Water Videos of home testing of bo...,0
Hyland’s Baby Teething Tablets Discontinued Hyland's Tee...,1
Man Gets Tapeworms from Eating Sashimi? X-ray images do ...,0
Will US COVID-19 Deaths Be Double the Number of US Vietnam War Deaths by Fall 2020...,1
U.S. Residents to Be Implanted with Microchips 'Obamacar...,0
Aborted Babies Incinerated in Oregon Waste-to-Energy Facility,1
Bananas and Flesh-Eating Disease Are bananas from South ...,0
Pot Scrubber Sponges and Agent Orange Do Procter &amp; G...,0
"The $64,000 Question for Obama President Obama declined ...",0
Senior Death Warrants Message warns that health care ref...,1
Were UK Midwives Encouraged To Say ‘Chestfeeding’ To Be More Inclusive?,1
Does COVID Stand for ‘Certificate of Vaccination ID’? ...,0
Should Pregnant Women Avoid COVID-19 Vaccine? This ...,1
Is China Using Anal Swabs to Test for COVID-19? May...,1
Did Researchers Warn Certain COVID-19 Vaccines Could Increase HIV Risk?,1
Can an iPhone 12 Disable Pacemakers or Other Cardiac Devices?,1
Did a Man Suffer Organ Failure After Injecting Psychedelic Mushrooms?,1
Did a Clinical Trial Participant Develop ‘Huge Bleeding Sores’ From a COVID-19 Vac...,0
Disposable Chopsticks and Cancer Are disposable chopstic...,0
Did a Florida Teen Die After Attending a Church ‘COVID Party’?,1
CA-125 Is the CA-125 blood test a good general method of...,0
Tamiflu and Donald Rumsfeld Does Secretary of Defense Do...,1
"Soursop, Guyabano, and the Graviola Tree — the Ultimate “Cure” for Cancer?",0
‘When Pigs Fly’ Prophecy A prophecy that a black man wou...,0
...,0
Zombie Outbreak Has an epidemic resulted in an outbreak ...,0
...,0
Did Ben Carson Win the Nobel Prize for Creating Brain Supplements?,0
...,1
Did First COVID-19 Vaccine Recipient Suspiciously Appear in News Report Months Ear...,0
...,0
...,0
Did a Delta Pilot Die Mid-Flight Due to COVID-19 Vaccination?,0
...,0
...,0
Is This COVID-19 ‘Vaccine Side Effects’ Poster Real? ...,0
"Did Vermont’s COVID-19 Cases Rise 16,700% in 4 Months?",0
...,0
...,0
...,0
...,0
...,0
...,0
...,0
...,0
Feldkamp Plane Crash Family of abortion clinic owner die...,0
...,0
...,0
...,0
...,0
...,0
...,0
...,0
...,0
...,0
...,0
Did Pfizer CEO Say COVID-19 Vaccines Contain Microchips?,0
...,0
Can Getting COVID-19 Vaccine Disqualify You From Life Insurance Benefits?,0
Was an Inflatable Costume Responsible for Spreading COVID at Hospital?,1
...,0
...,0
...,0
...,0
...,0
"No, the Case of Paul Karason Wasn’t ‘Disinformation’ To Scare People Away from U...",0
Can You Die of COVID-19 if You Are Vaccinated? In s...,1
"No, the Make-A-Wish Foundation Isn’t Denying Wishes to Unvaccinated Children",0
...,0
What We Know About the Cancer-Detecting Blood Test ...,1
...,1
Did People Receive Unsolicited Masks from China? Th...,0
Eos Lip Balm Mold Problem Eos brand lip balm can grow bl...,1
...,0
"Yes, You Still Need a Booster After Being Infected with Omicron",1
...,0
Ebola in Doritos Have three Doritos factory workers test...,0
"Does a Leaked Video Reveal a Government Plot to Vaccinate Against ‘Thoughts, Ideas...",0
Lead in Sidewalk Chalk Some brands of sidewalk chalk hav...,1
Purses and E. Coli Your purse may be carrying disease in...,1
Did Muhammad Ali Encourage Vaccinations? NBA player...,1
Did Japan Halt COVID-19 Vax Rollout Due to Ivermectin Success?,0
Did Ice Cream Test Positive for COVID-19? Consideri...,1
Did Jacques Attali Encourage Pandemic-Driven Euthanasia?,0
"No, Pfizer’s CEO Did Not Refuse to Take the COVID-19 Vaccine",0
"No, 5 JetBlue Pilots Didn’t Die From the COVID-19 Vaccine",0
"No, 95% of Omicron Cases Are Not in Vaccinated People ...",0
Does This Chart Show When COVID-19 Variants Will Be ‘Released’?,0
Is Seasonal Flu More Deadly Than COVID-19? The real poin...,0
...,0
...,0
...,0
CDC Recommends Mothers Stop Breastfeeding to Boost Vaccine Efficacy?,0
...,0
...,0
...,0
Did a Viewer Spot This TV Reporter’s Cancer? A handful o...,1
"Do Sulfur Emissions from Wuhan, China, Point to Mass Cremation of Coronavirus Vict...",0
...,0
Breast Rash Photograph supposedly depicts a breast rash ...,0
...,0
...,0
Cigarette Filter Danger Will inhaling from the wrong end...,0
Dr. Ruth Was a Sniper? Did sexpert Dr. Ruth Westheimer s...,1
Did a 15-Year-Old Invent a ‘100% Accurate’ Pancreatic Cancer Test?,1
Dust Off Death Have adolescents died of huffing from can...,1
Were Three Cats in Wyoming Diagnosed with Bubonic Plague?,1
Is This ‘Avoiding the Future Plague’ Video a Real PSA From the 1950s?,0
Does a Form of Strep Throat Infect the Face and Nasal Cavity?,1
Were 526 ‘Tooth Like Structures’ Removed From a Child’s Mouth?,1
"What Is Hair-Grooming Syncope? Syncope, the medical term...",1
Asbestos in Crayons Have harmful levels of asbestos been...,0
Are IV Drug Users Cleaning Needles by Poking Toilet Paper Rolls?,0
Did a Mexican Researcher Develop a Potential Treatment for HPV?,1
Will Cayenne Pepper Stop Serious Bleeding? Do not put ca...,0
...,0
...,0
Can Eating Hot Cross Buns Trigger False Positive Breathalyzer Results?,1
"Is Coronavirus Spreading Faster Than SARS, Ebola, and Swine Flu?",1
Was This Lung Removed from a COVID-19 Patient? A patient...,1
Red Bull Cocaine Some German states have banned Red Bull...,1
Granite Countertops and Radon Do some granite countertop...,1
Ataxia and Ticks Embedded ticks can cause paralysis.,1
"Cancer Update from Johns Hopkins Hospital ""Emails offeri...",0
Could Mixing Dawn Dish Soap with Clorox Bleach Kill You?,1
Chelsea Clinton’s Apartment Houses a Secret Hospital Aft...,0
...,0
Can a Homemade Tito’s Vodka Hand Sanitizer Help Stem Coronavirus?,0
